Mixture	Astrocyte	Endothelial	Microglia	Excitatory	Inhibitory	Oligo	P-value	Correlation	RMSE
Astrocytes.m.3_SC	0.943024265401515	0	0	0	0	0.0569757345984855	0	0.642415731399981	0.843988329436606
Astrocytes.m.3_SS	0.947264233935849	0	0	0.039351291021761	0	0.0133844750423898	0	0.61221569943898	0.879807930073045
Astrocytes.f.13_PAG	0.973782017545568	0	0	0.00243601225876593	0	0.0237819701956665	0	0.634669192126548	0.86498391105419
Astrocytes.f.13_SC	0.926157644038192	0	0	0	0	0.0738423559618084	0	0.643034281235792	0.837491146336838
Astrocytes.f.13_SS	0.972936563581585	0	0	0.0270634364184156	0	0	0	0.603397202668535	0.900919811808761
Astrocytes.f.14_PAG	0.966808773633883	0	0	0	0	0.0331912263661166	0	0.629693963007307	0.868003396065365
Astrocytes.f.14_SC	0.915220586347964	0	0	0	0	0.0847794136520357	0	0.593987775638061	0.889402684892143
Astrocytes.f.14_SS	0.978070745565267	0	0	0.0216661864847663	0	0.000263067949966514	0	0.608237090136016	0.897667859142368
Astrocytes.f.15_PAG	0.956571549338889	0	0	0	0.019638518006913	0.0237899326541977	0	0.63726780676591	0.854499825142485
Astrocytes.f.15_SC	0.90497618950004	0.00232139641451688	0	0	0	0.0927024140854427	0	0.61410298153484	0.863907797955003
Astrocytes.f.15_SS	0.94597665513304	0	0	0.0527668296833828	0	0.00125651518357705	0	0.604496130670598	0.888086552348979
Astrocytes.f.1_PAG	0.978986019443971	0	0	0	0	0.0210139805560294	0	0.622211144681437	0.881837324209343
Astrocytes.f.1_SC	0.928208686973356	0	0	0	0	0.0717913130266438	0	0.575264694296475	0.914237741324148
Astrocytes.f.1_SS	0.971021815430607	0	0	0.0289781845693933	0	0	0	0.5818444932886	0.924194843822559
Astrocytes.f.2_PAG	0.978586933275744	0	0	0	0	0.0214130667242563	0	0.614401821166088	0.890720540567295
Astrocytes.f.2_SC	0.920549055737187	0	0	0	0	0.0794509442628134	0	0.581469707423556	0.904824733264781
Astrocytes.f.2_SS	0.973470658374761	0	0	0.0265293416252387	0	0	0	0.599722380892564	0.905317414748833
